source_style,target_style,similarity,source_idx,target_idx,source_artist,target_artist,source_genre,target_genre
Early_Renaissance,High_Renaissance,0.9378535747528076,32563,25182,pietro-perugino,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.9042578935623169,40052,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8920601010322571,47861,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8891845345497131,50266,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Northern_Renaissance,High_Renaissance,0.8874123096466064,29110,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8856988549232483,56992,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8776058554649353,57022,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.863760232925415,45569,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8570229411125183,48011,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8543371558189392,68566,31550,Unknown Artist,pietro-perugino,Unknown Genre,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8957698941230774,34153,34042,raphael,titian,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8843737244606018,37872,34042,raphael,titian,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8773210644721985,69785,34042,Unknown Artist,titian,Unknown Genre,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8713045120239258,69485,34042,Unknown Artist,titian,Unknown Genre,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8662909865379333,31767,34042,raphael,titian,religious_painting,religious_painting
Northern_Renaissance,High_Renaissance,0.8337516188621521,5071,56401,albrecht-durer,titian,portrait,religious_painting
Early_Renaissance,High_Renaissance,0.8335576057434082,49320,56401,Unknown Artist,titian,portrait,religious_painting
Northern_Renaissance,High_Renaissance,0.8217867612838745,18009,56401,albrecht-durer,titian,religious_painting,religious_painting
Northern_Renaissance,High_Renaissance,0.8082980513572693,323,56401,albrecht-durer,titian,religious_painting,religious_painting
Northern_Renaissance,High_Renaissance,0.8071420192718506,29110,56401,Unknown Artist,titian,religious_painting,religious_painting
High_Renaissance,Baroque,0.833306610584259,46517,37422,titian,Unknown Artist,religious_painting,genre_painting
Northern_Renaissance,Baroque,0.8056977391242981,30167,37422,Unknown Artist,Unknown Artist,genre_painting,genre_painting
Northern_Renaissance,Baroque,0.803977906703949,34684,37422,hieronymus-bosch,Unknown Artist,religious_painting,genre_painting
Baroque,Rococo,0.8441266417503357,51822,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting
Baroque,Rococo,0.8361355662345886,24416,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting
Baroque,Rococo,0.8306851387023926,53691,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting
Baroque,Rococo,0.8245528340339661,20631,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting
Baroque,Rococo,0.8241275548934937,17601,47245,rembrandt,Unknown Artist,religious_painting,genre_painting
Early_Renaissance,High_Renaissance,0.9131039977073669,61990,20894,Unknown Artist,raphael,sketch_and_study,sketch_and_study
Early_Renaissance,High_Renaissance,0.9124571084976196,70726,20894,Unknown Artist,raphael,Unknown Genre,sketch_and_study
Early_Renaissance,High_Renaissance,0.8903132677078247,71857,20894,Unknown Artist,raphael,Unknown Genre,sketch_and_study
Northern_Renaissance,High_Renaissance,0.8795576691627502,8202,20894,albrecht-durer,raphael,sketch_and_study,sketch_and_study
